chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
1,95.5,97.0,78.87,100.0,92.8
2,93.0,92.0,82.71,96.0,91.6
3,99.5,95.0,84.61,100.0,92.8
4,97.0,86.0,69.73,80.0,92.8
5,99.0,88.0,75.31,84.0,94.0
6,97.5,94.0,81.89,96.0,91.6
7,99.0,90.0,95.54,100.0,94.0
8,100.0,72.0,94.0,30.0,92.8
9,98.0,72.0,89.77,24.0,90.4
10,98.0,82.0,62.85,72.0,92.8
11,97.5,93.0,81.25,96.0,92.8
12,97.5,87.0,80.94,84.0,94.0
13,100.0,88.0,77.84,92.0,92.8
14,100.0,78.0,100.0,30.0,94.0
15,98.5,82.0,92.63,14.0,89.2
16,97.5,87.0,85.9,72.0,91.6
17,99.0,88.0,76.2,84.0,92.8
18,92.86,93.0,68.57,62.5,95.2
